,SN Name,Spectrum Phase,Spectrum Cardinality,SN Subtype,SN Maintype,SN Subtype ID,SN Maintype ID,SNR,S (SNR),N (SNR),Denoising Parameter,searchBlu,searchRed,minima_i,maxBlu,maxRed,noiseWindowBlu,noiseWindowRed,useBlu,useRed,Training Set,Imposed SNR,Measured SNR,Measured S (SNR),Measured N (SNR)
16,sn1989b,17.5,1,Ia-norm,Ia,0,0,11.512367404959042,0.2729764277758702,0.023711580613582875,8.46099129727517,500.0,0.0,1.0,1.0,0.0,100.0,100.0,True,True,False,20.0,37.28723660995751,0.2761945521111191,0.007407214296952263
161,sn1994q,11.8,1,Ia-norm,Ia,0,0,8.2073763641749,0.1644316954519905,0.020034623508888037,7.401710147699483,500.0,0.0,,1.0,0.0,100.0,100.0,True,True,False,20.0,25.37479064488706,0.16171671080175226,0.0063731249280016295
334,sn1998bp,24.8,1,Ia-norm,Ia,0,0,6.730792903603582,0.1193744280560603,0.01773556693330272,5.86615215109325,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,40.72469443748199,0.11603616356825217,0.0028492826077893265
335,sn1998bp,25.8,1,Ia-norm,Ia,0,0,7.505021774167425,0.14233486054850797,0.018965282824152496,6.8321805464065735,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,38.32233484371826,0.14120013110828503,0.0036845388383591757
336,sn1998bp,27.7,1,Ia-norm,Ia,0,0,4.2612766564515185,0.1375941186770701,0.03228941225131543,6.454832877613962,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,37.16605604260647,0.13543158666896052,0.003643959060754369
337,sn1998bp,29.6,1,Ia-norm,Ia,0,0,5.915293983473015,0.1707626716568628,0.0288679940733231,7.376479250622395,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,27.42865434666313,0.16883010800107776,0.006155245746556903
535,sn2000bk,26.5,1,Ia-norm,Ia,0,0,2.6335578335965812,0.09146176944458378,0.03472935671956626,6.217970678773586,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,35.15853022589842,0.0914595525321112,0.0026013474381457622
558,sn2000d,-0.9,1,Ia-norm,Ia,0,0,15.076742377266644,0.36497094488775006,0.024207546680512948,20.0,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,38.66453906591599,0.35810773438160776,0.00926191655281599
562,sn2000dg,-0.8,1,Ia-norm,Ia,0,0,4.253318058739569,0.24532837453171205,0.05767929205943578,7.355834506944085,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,49.92824395396593,0.24271274443289367,0.004861231343459144
597,sn2000fa,37.5,1,Ia-norm,Ia,0,0,4.01864575136316,0.10980789463667259,0.027324601726694816,19.99967826909226,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,15.67083183906735,0.10438802463237157,0.00666129441655627
834,sn2002ck,29.3,1,Ia-norm,Ia,0,0,3.066071729254263,0.11642903713282535,0.03797335725121587,6.261732410891506,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.99915700833549,0.11805718380468212,0.003472356205059388
