,SN Name,SN Subtype,SN Subtype ID,SN Maintype,SN Maintype ID,Spectral Phase
121,sn1994d,Ia-norm,0,Ia,0,26.2
125,sn1994d,Ia-norm,0,Ia,0,48.0
168,sn1998de,Ia-91bg,2,Ia,0,-7.2
195,sn1992ar,Ic-norm,7,Ic,2,3.4
269,sn1999em,IIP,9,II,3,44.1
511,sn1984l,Ib-norm,4,Ib,1,8.0
512,sn1984l,Ib-norm,4,Ib,1,9.0
513,sn1984l,Ib-norm,4,Ib,1,11.9
514,sn1984l,Ib-norm,4,Ib,1,12.9
515,sn1984l,Ib-norm,4,Ib,1,27.9
522,sn1989b,Ia-norm,0,Ia,0,3.5
523,sn1989b,Ia-norm,0,Ia,0,5.5
524,sn1989b,Ia-norm,0,Ia,0,7.5
525,sn1989b,Ia-norm,0,Ia,0,9.5
526,sn1989b,Ia-norm,0,Ia,0,11.5
528,sn1989b,Ia-norm,0,Ia,0,13.4
572,sn1992a,Ia-norm,0,Ia,0,6.9
575,sn1992a,Ia-norm,0,Ia,0,15.8
577,sn1992a,Ia-norm,0,Ia,0,23.8
578,sn1992a,Ia-norm,0,Ia,0,27.8
584,sn2003cg,Ia-norm,0,Ia,0,-8.9
595,sn2003cg,Ia-norm,0,Ia,0,-2.1
624,sn1996ab,Ia-norm,0,Ia,0,1.3
652,sn1998ec,Ia-norm,0,Ia,0,38.2
687,sn1995d,Ia-norm,0,Ia,0,3.6
735,sn1992h,IIP,9,II,3,24.5
838,sn1998dx,Ia-norm,0,Ia,0,-1.7
839,sn1998dx,Ia-norm,0,Ia,0,-0.7
841,sn1998dx,Ia-norm,0,Ia,0,2.1
850,sn1994q,Ia-norm,0,Ia,0,18.6
937,sn1994m,Ia-norm,0,Ia,0,39.8
1003,sn1998co,Ia-norm,0,Ia,0,28.4
1008,sn1981b,Ia-norm,0,Ia,0,26.3
1009,sn1981b,Ia-norm,0,Ia,0,33.2
1113,sn1986g,Ia-91bg,2,Ia,0,0.3
1115,sn1986g,Ia-91bg,2,Ia,0,1.3
1116,sn1986g,Ia-91bg,2,Ia,0,20.7
1117,sn1986g,Ia-91bg,2,Ia,0,21.7
1118,sn1986g,Ia-91bg,2,Ia,0,22.7
1119,sn1986g,Ia-91bg,2,Ia,0,31.7
1120,sn1986g,Ia-91bg,2,Ia,0,41.2
1169,sn2002er,Ia-norm,0,Ia,0,-5.4
1285,sn1995e,Ia-norm,0,Ia,0,-2.9
1286,sn1995e,Ia-norm,0,Ia,0,-0.9
1287,sn1995e,Ia-norm,0,Ia,0,1.0
1288,sn1995e,Ia-norm,0,Ia,0,3.9
1289,sn1995e,Ia-norm,0,Ia,0,5.9
1308,sn1995d,Ia-norm,0,Ia,0,4.2
1320,sn1998bu,Ia-norm,0,Ia,0,1.2
1386,sn1998v,Ia-norm,0,Ia,0,30.8
1389,sn2006cj,Ia-norm,0,Ia,0,-2.1
1390,sn2006cj,Ia-norm,0,Ia,0,-1.2
1391,sn2006cj,Ia-norm,0,Ia,0,-0.2
1392,sn2006cj,Ia-norm,0,Ia,0,4.4
1393,sn2006cj,Ia-norm,0,Ia,0,5.4
1394,sn2006cj,Ia-norm,0,Ia,0,8.2
1395,sn2006cj,Ia-norm,0,Ia,0,9.1
1396,sn2006cj,Ia-norm,0,Ia,0,11.0
1506,sn2000fa,Ia-norm,0,Ia,0,-10.4
1521,sn1989b,Ia-norm,0,Ia,0,2.6
1522,sn1989b,Ia-norm,0,Ia,0,4.6
1523,sn1989b,Ia-norm,0,Ia,0,6.6
1524,sn1989b,Ia-norm,0,Ia,0,8.6
1525,sn1989b,Ia-norm,0,Ia,0,10.6
1527,sn1989b,Ia-norm,0,Ia,0,12.6
1556,sn1998ab,Ia-91T,1,Ia,0,6.7
1599,sn1991t,Ia-91T,1,Ia,0,-12.8
1629,sn1996x,Ia-norm,0,Ia,0,11.9
1828,sn1999cl,Ia-norm,0,Ia,0,4.6
1876,sn1998e,Ia-91T,1,Ia,0,-9.4
1934,sn2005hj,Ia-91T,1,Ia,0,3.3
1936,sn2005hj,Ia-91T,1,Ia,0,9.9
1937,sn2005hj,Ia-91T,1,Ia,0,17.4
1938,sn2005hj,Ia-91T,1,Ia,0,24.0
1939,sn2005hj,Ia-91T,1,Ia,0,32.5
2051,sn1990n,Ia-norm,0,Ia,0,1.6
2133,sn2005c,IIP,9,II,3,-1.2
2144,sn2005c,IIP,9,II,3,4.2
2329,sn2005hk,Iax,3,Ia,0,-4.2
2330,sn2005hk,Iax,3,Ia,0,-3.4
2352,sn2007ae,Ia-norm,0,Ia,0,3.3
2357,sn1999cc,Ia-norm,0,Ia,0,18.2
